Cuasso al Monte comune,Cuasso al Monte comune.1
,
Cuasso al Monte – VedutaIl castello di Cuasso in un’incisione di Giuseppe Elena (1835),Cuasso al Monte – VedutaIl castello di Cuasso in un’incisione di Giuseppe Elena (1835)
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Loredana Bonora (lista civica Incomune) dal 12/10/2021 - 1º mandato
Territorio,Territorio
Coordinate,45°54′32.61″N 8°52′02.99″E
Altitudine,537 m s.l.m.
Superficie,"16,43 km²"
Abitanti,3 524[1] (30-11-2025)
Densità,"214,49 ab./km²"
Frazioni,"Alpe Tedesco, Borgnana, Cavagnano, Cuasso al Lago, Cuasso al Piano, Cuasso al Monte (sede comunale), Villaggio Siba (San Salvatore), Imborgnana (Mondo Nuovo)"
Comuni confinanti,"Arcisate, Besano, Bisuschio, Brusimpiano, Cugliate-Fabiasco, Marchirolo, Marzio, Porto Ceresio, Valganna"
Altre informazioni,Altre informazioni
Cod. postale,21050
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012058
Cod. catastale,D192
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 778 GG[3]"
Nome abitanti,cuassesi
Patrono,sant'Ambrogio
Giorno festivo,7 dicembre
Cartografia,Cartografia
Cuasso al Monte,Cuasso al Monte
Cuasso al Monte – MappaPosizione del comune di Cuasso al Monte nella provincia di Varese,Cuasso al Monte – MappaPosizione del comune di Cuasso al Monte nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
