Duno comune,Duno comune.1
,
"Duno – VedutaDuno visto dal Forte di Orino, sul monte Campo dei Fiori.","Duno – VedutaDuno visto dal Forte di Orino, sul monte Campo dei Fiori."
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Marco Dolce (lista civica Duno) dal 27-05-2019[1] (2º mandato dal 10-06-2024)
Territorio,Territorio
Coordinate,45°54′50.76″N 8°44′14.28″E
Altitudine,530 m s.l.m.
Superficie,"2,49 km²"
Abitanti,161[2] (30-11-2025)
Densità,"64,66 ab./km²"
Comuni confinanti,"Brissago-Valtravaglia, Casalzuigno, Cassano Valcuvia, Cuveglio, Mesenzana, Porto Valtravaglia"
Altre informazioni,Altre informazioni
Cod. postale,21030
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012066
Cod. catastale,D385
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 778 GG[4]"
Nome abitanti,Dunesi
Patrono,santi Giuliano e Basilissa
Giorno festivo,13 gennaio
Cartografia,Cartografia
Duno,Duno
Duno – MappaPosizione del comune di Duno nella provincia di Varese,Duno – MappaPosizione del comune di Duno nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
