Brusimpiano comune,Brusimpiano comune.1
,
Brusimpiano – VedutaBrusimpiano visto da Casoro di Lugano (Svizzera),Brusimpiano – VedutaBrusimpiano visto da Casoro di Lugano (Svizzera)
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Fabio Zucconelli (lista civica Buon senso comune) dal 10-6-2024 (3º mandato)[1]
Territorio,Territorio
Coordinate,45°57′N 8°53′E
Altitudine,289 m s.l.m.
Superficie,"5,91 km²"
Abitanti,1 171[2] (30-11-2025)
Densità,"198,14 ab./km²"
Frazioni,Ardena
Comuni confinanti,"Caslano (CH-TI), Cuasso al Monte, Lavena Ponte Tresa, Lugano (CH-TI), Marzio, Morcote (CH-TI), Porto Ceresio"
Altre informazioni,Altre informazioni
Cod. postale,21050
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012024
Cod. catastale,B228
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 527 GG[4]"
Nome abitanti,brusimpianesi
Cartografia,Cartografia
Brusimpiano,Brusimpiano
Brusimpiano – MappaPosizione del comune di Brusimpiano nella provincia di Varese,Brusimpiano – MappaPosizione del comune di Brusimpiano nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
