Dumenza comune,Dumenza comune.1
,
Dumenza – VedutaChiesa di San Giorgio,Dumenza – VedutaChiesa di San Giorgio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Corrado Nazario Moro (lista civica Dumenza 2029) dal 27/05/2019[1] (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,46°01′N 8°47′E
Altitudine,411 m s.l.m.
Superficie,"18,4 km²"
Abitanti,1 464[2] (30-11-2025)
Densità,"79,57 ab./km²"
Frazioni,"Due Cossani, Runo, Stivigliano, Trezzino, Vignone, Torbera"
Comuni confinanti,"Agra, Curiglia con Monteviasco, Lema (CH-TI), Luino, Maccagno con Pino e Veddasca, Novaggio (CH-TI), Tresa (CH-TI)"
Altre informazioni,Altre informazioni
Cod. postale,21010
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012065
Cod. catastale,D384
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 692 GG[4]"
Nome abitanti,dumentini
Patrono,San Giorgio
Cartografia,Cartografia
Dumenza,Dumenza
Dumenza – MappaPosizione del comune di Dumenza nella provincia di Varese,Dumenza – MappaPosizione del comune di Dumenza nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
