Cittiglio comune,Cittiglio comune.1
,
Cittiglio – Veduta,Cittiglio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,"Rossella Magnani (lista civica Polis - Tradizione, territorio, innovazione) dal 4-10-2021"
Territorio,Territorio
Coordinate,45°53′47.04″N 8°39′53.64″E
Altitudine,254 m s.l.m.
Superficie,"11,11 km²"
Abitanti,3 802[1] (30-11-2025)
Densità,"342,21 ab./km²"
Frazioni,"Vararo, Fracce, Pianazza, Cascine, Molinazzo, Casere, Pianella, San Biagio, Vignola, Le Ville, Alpe Pirla, Chiosi, Cascate di San Giulio, Ghetto, Cereda, La Fontanaccia, Sasso del Ferro, Mulini, Cormeta, Passo del Cuvignone, Monte La Tegia, Pizzoni di Laveno, Passo Barbè"
Comuni confinanti,"Brenta, Caravate, Castelveccana, Gemonio, Laveno-Mombello"
Altre informazioni,Altre informazioni
Cod. postale,21033
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012051
Cod. catastale,C751
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 501 GG[3]"
Nome abitanti,cittigliesi
Patrono,san Giulio
Giorno festivo,31 gennaio
Cartografia,Cartografia
Cittiglio,Cittiglio
Cittiglio – MappaPosizione del comune di Cittiglio nella provincia di Varese,Cittiglio – MappaPosizione del comune di Cittiglio nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
