Cavaria con Premezzo comune,Cavaria con Premezzo comune.1
,
Cavaria con Premezzo – Veduta,Cavaria con Premezzo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Franco Zeni (Lega-lista civica Insieme) dal 27-5-2019[1] (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°41′33.86″N 8°47′45.88″E
Altitudine,268 m s.l.m.
Superficie,"3,32 km²"
Abitanti,5 773[2] (30-11-2025)
Densità,"1 738,86 ab./km²"
Comuni confinanti,"Besnate, Cassano Magnago, Gallarate, Jerago con Orago, Oggiona con Santo Stefano"
Altre informazioni,Altre informazioni
Cod. postale,21044
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,012048
Cod. catastale,C382
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 716 GG[4]"
Nome abitanti,cavariesi e premezzesi
Patrono,"santi Quirico e Giulitta, sant'Antonino"
Cartografia,Cartografia
Cavaria con Premezzo,Cavaria con Premezzo
Cavaria con Premezzo – MappaPosizione del comune di Cavaria con Premezzo nella provincia di Varese,Cavaria con Premezzo – MappaPosizione del comune di Cavaria con Premezzo nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
