Inarzo comune,Inarzo comune.1
,
Inarzo – VedutaCentro storico,Inarzo – VedutaCentro storico
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Fabrizio Montonati (lista civica Il mio paese) dal 5-6-2016
Territorio,Territorio
Coordinate,45°47′08″N 8°44′12″E
Altitudine,283 m s.l.m.
Superficie,"2,43 km²"
Abitanti,1 076[1] (30-11-2025)
Densità,"442,8 ab./km²"
Comuni confinanti,"Biandronno, Bodio Lomnago, Casale Litta, Cazzago Brabbia, Ternate, Varano Borghi"
Altre informazioni,Altre informazioni
Cod. postale,21020
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012082
Cod. catastale,E292
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 485 GG[3]"
Nome abitanti,inarzesi
Patrono,santi Pietro e Paolo
Cartografia,Cartografia
Inarzo,Inarzo
Inarzo – MappaPosizione del comune di Inarzo nella provincia di Varese,Inarzo – MappaPosizione del comune di Inarzo nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
