Ferno comune,Ferno comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Sarah Foti (Fratelli d'Italia - Lega- Forza Italia) dal 13-06-2022
Territorio,Territorio
Coordinate,45°37′13″N 8°45′49″E
Altitudine,211 m s.l.m.
Superficie,"8,66 km²"
Abitanti,6 705[1] (30-11-2025)
Densità,"774,25 ab./km²"
Frazioni,San Macario
Comuni confinanti,"Lonate Pozzolo, Samarate, Somma Lombardo, Vizzola Ticino"
Altre informazioni,Altre informazioni
Cod. postale,21010
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,012068
Cod. catastale,D543
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 840 GG[3]"
Nome abitanti,fernesi
Patrono,sant'Antonio abate e san Martino
Giorno festivo,11 novembre (san Martino)
Cartografia,Cartografia
Ferno,Ferno
Ferno – MappaPosizione del comune di Ferno nella provincia di Varese,Ferno – MappaPosizione del comune di Ferno nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
