Cazzago Brabbia comune,Cazzago Brabbia comune.1
,
Cazzago Brabbia – VedutaIl municipio,Cazzago Brabbia – VedutaIl municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Davide Bossi (lista civica Rinnovamento e tradizione per Cazzago) dal 10-06-2024[1]
Territorio,Territorio
Coordinate,45°48′N 8°44′E
Altitudine,265 m s.l.m.
Superficie,4 km²
Abitanti,782[2] (30-11-2025)
Densità,"195,5 ab./km²"
Frazioni,"Bonze, Cascina Costa, Fornaci, Fosso di Mezzo, Pizzo di Cazzago, Torbiera di Cazzago"
Comuni confinanti,"Biandronno, Bodio Lomnago, Inarzo, Ternate, Varese"
Altre informazioni,Altre informazioni
Cod. postale,21020
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012049
Cod. catastale,C409
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 491 GG[4]"
Nome abitanti,cazzaghesi
Patrono,san Carlo Borromeo
Giorno festivo,4 novembre
Cartografia,Cartografia
Cazzago Brabbia,Cazzago Brabbia
Cazzago Brabbia – MappaPosizione del comune di Cazzago Brabbia nella provincia di Varese,Cazzago Brabbia – MappaPosizione del comune di Cazzago Brabbia nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
