Provincia di Varese provincia,Provincia di Varese provincia.1
,
"Provincia di Varese – VedutaVilla Recalcati, sede della Provincia","Provincia di Varese – VedutaVilla Recalcati, sede della Provincia"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Amministrazione,Amministrazione
Capoluogo,Varese
Presidente,Marco Magrini (centro-sinistra) dal 29-1-2023
Data di istituzione,1927
Territorio,Territorio
Coordinate del capoluogo,45°49′N 8°50′E
Superficie,"1 198,11 km²"
Abitanti,884 547[1] (31-10-2025)
Densità,"738,29 ab./km²"
Comuni,136 comuni
Province confinanti,"Como, Monza e Brianza, Milano, Novara, Verbano-Cusio-Ossola, Ticino (Svizzera)"
Altre informazioni,Altre informazioni
Cod. postale,"21100, 21010-21059"
Prefisso,"02, 0331, 0332"
Fuso orario,UTC+1
ISO 3166-2,IT-VA
Codice ISTAT,012
Targa,VA
Nome abitanti,"Varesini (abitanti del Comune di Varese), Varesotti (abitanti del resto della Provincia)"
PIL procapite,(nominale) 26978 € [2]
Cartografia,Cartografia
Provincia di Varese – Localizzazione,Provincia di Varese – Localizzazione
Provincia di Varese – MappaPosizione della provincia di Varese nella Lombardia,Provincia di Varese – MappaPosizione della provincia di Varese nella Lombardia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
