Gorla Minore comune,Gorla Minore comune.1
,
Gorla Minore – Veduta,Gorla Minore – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Fabiana Ermoni (lista civica Progetto per Gorla + Viva) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,45°38′57.24″N 8°54′55.66″E
Altitudine,239 m s.l.m.
Superficie,"7,48 km²"
Abitanti,8 230[2] (30-11-2025)
Densità,"1 100,27 ab./km²"
Frazioni,"Prospiano, Del Vacchè, Fontanile"
Comuni confinanti,"Cislago, Gorla Maggiore, Marnate, Mozzate (CO), Olgiate Olona, Rescaldina (MI), Solbiate Olona"
Altre informazioni,Altre informazioni
Cod. postale,21055
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,012079
Cod. catastale,E102
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 876 GG[4]"
Nome abitanti,gorlesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Gorla Minore,Gorla Minore
Gorla Minore – MappaPosizione del comune di Gorla Minore nella provincia di Varese,Gorla Minore – MappaPosizione del comune di Gorla Minore nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
