Cocquio-Trevisago comune,Cocquio-Trevisago comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Danilo Centrella (lista civica Insieme per crescere) dal 05-06-2016 (2º mandato dal 03-10-2021)
Data di istituzione,1927
Territorio,Territorio
Coordinate,45°51′48.78″N 8°42′10.93″E
Altitudine,291 m s.l.m.
Superficie,"9,81 km²"
Abitanti,4 642[1] (30-11-2025)
Densità,"473,19 ab./km²"
Frazioni,"Cocquio, Trevisago, Caldana, Carnisio, Cerro, Sant'Andrea, Torre, San Bartolomeo, Intelo, Medù"
Comuni confinanti,"Azzio, Besozzo, Cuvio, Gavirate, Gemonio, Orino"
Altre informazioni,Altre informazioni
Cod. postale,21034
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012053
Cod. catastale,C810
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 552 GG[3]"
Nome abitanti,cocquiesi
Patrono,"Maria di Nazareth (Cocquio, Caldana) Sant'Andrea (Sant’Andrea)"
Giorno festivo,2 febbraio (Cocquio) 15 agosto (Caldana) 30 novembre (Sant’Andrea)
Cartografia,Cartografia
Cocquio-Trevisago,Cocquio-Trevisago
Cocquio-Trevisago – MappaPosizione del comune di Cocquio-Trevisago nella provincia di Varese,Cocquio-Trevisago – MappaPosizione del comune di Cocquio-Trevisago nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
