Bisuschio comune,Bisuschio comune.1
,
Bisuschio – VedutaPanorama del centro storico del paese; in risalto il campanile della chiesa di San Giuseppe.,Bisuschio – VedutaPanorama del centro storico del paese; in risalto il campanile della chiesa di San Giuseppe.
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Michele Ruggiero (lista civica Cambiamo Bisuschio) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,45°52′N 8°52′E
Altitudine,370 m s.l.m.
Superficie,"7,03 km²"
Abitanti,4 244[2] (30-11-2025)
Densità,"603,7 ab./km²"
Frazioni,"Piamo, Pogliana, Ravasina, Rossaga, Roncaccio, Vigneto, Ronco, Mulinazzo, Mulini dei Frati, Ponte, Zerbi"
Comuni confinanti,"Arcisate, Besano, Cuasso al Monte, Viggiù"
Altre informazioni,Altre informazioni
Cod. postale,21050
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012015
Cod. catastale,A891
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 620 GG[4]"
Nome abitanti,bisuschiesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Bisuschio,Bisuschio
Bisuschio – MappaPosizione del comune di Bisuschio nella provincia di Varese,Bisuschio – MappaPosizione del comune di Bisuschio nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
