Castiglione Olona comune,Castiglione Olona comune.1
Città di Castiglione Olona,Città di Castiglione Olona
,
Castiglione Olona – VedutaVeduta,Castiglione Olona – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Giancarlo Frigeri (lista civica Insieme per Castiglione) dal 27-5-2019[1] (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°45′11.16″N 8°52′27.84″E
Altitudine,307 m s.l.m.
Superficie,"6,9 km²"
Abitanti,7 470[2] (30-11-2025)
Densità,"1 082,61 ab./km²"
Frazioni,"Caronno Corbellaro, Gornate Superiore"
Comuni confinanti,"Caronno Varesino, Gornate Olona, Lozza, Morazzone, Vedano Olona, Venegono Inferiore, Venegono Superiore"
Altre informazioni,Altre informazioni
Cod. postale,21043
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,012046
Cod. catastale,C300
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 568 GG[4]"
Nome abitanti,castiglionesi
Patrono,Beata Vergine Maria del Rosario
Giorno festivo,7 ottobre
Cartografia,Cartografia
Castiglione Olona,Castiglione Olona
Castiglione Olona – MappaPosizione del comune di Castiglione Olona nella provincia di Varese,Castiglione Olona – MappaPosizione del comune di Castiglione Olona nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
