Mercallo comune,Mercallo comune.1
,
Mercallo – Veduta,Mercallo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Andrea Tessarolo (lista civica Vivere Mercallo) dal 10-6-2024 (3º mandato)[1]
Territorio,Territorio
Coordinate,45°45′N 8°40′E
Altitudine,277 m s.l.m.
Superficie,"5,48 km²"
Abitanti,1 785[2] (30-11-2025)
Densità,"325,73 ab./km²"
Comuni confinanti,"Comabbio, Sesto Calende, Varano Borghi, Vergiate"
Altre informazioni,Altre informazioni
Cod. postale,21020
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,012101
Cod. catastale,F134
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 840 GG[4]"
Nome abitanti,mercallesi
Patrono,san Giovanni Evangelista
Giorno festivo,27 dicembre
Cartografia,Cartografia
Mercallo,Mercallo
Mercallo – MappaPosizione del comune di Mercallo nella provincia di Varese,Mercallo – MappaPosizione del comune di Mercallo nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
