Brenta,Brenta.1
Il Brenta a Bassano del Grappa,Il Brenta a Bassano del Grappa
Stato,Italia
Regioni,Trentino-Alto Adige  Veneto
Lunghezza,174 km
Portata media,71 m³/s a Bassano del Grappa
Bacino idrografico,5 840 km²
Altitudine sorgente,450 m s.l.m.
Nasce,Lago di Levico e lago di Caldonazzo 46°00′26″N 11°15′58″E
Affluenti,"Moggio, Maso, Grigno, Cismon, Valstagna, Oliero, Longhella, Muson dei Sassi, Canale Piovego, Taglio Nuovo, Bacchiglione"
Sfocia,Mare Adriatico 45°11′N 12°19′E
Mappa del fiume,Mappa del fiume
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
