Arsago Seprio comune,Arsago Seprio comune.1
,
Arsago Seprio – VedutaLa pieve di San Vittore,Arsago Seprio – VedutaLa pieve di San Vittore
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Claudio Montagnoli (lista civica Tradizione e innovazione) dal 10/6/2024[1]
Territorio,Territorio
Coordinate,45°41′N 8°44′E
Altitudine,290 m s.l.m.
Superficie,"10,51 km²"
Abitanti,4 727[2] (30-11-2025)
Densità,"449,76 ab./km²"
Comuni confinanti,"Besnate, Casorate Sempione, Gallarate, Mornago, Somma Lombardo, Vergiate"
Altre informazioni,Altre informazioni
Cod. postale,21010
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,012005
Cod. catastale,A441
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 525 GG[4]"
Nome abitanti,arsaghesi
Patrono,san Vittore
Giorno festivo,8 maggio
Cartografia,Cartografia
Arsago Seprio,Arsago Seprio
Arsago Seprio – MappaPosizione del comune di Arsago Seprio nella provincia di Varese,Arsago Seprio – MappaPosizione del comune di Arsago Seprio nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
