Brenta comune,Brenta comune.1
,
Brenta – VedutaBrenta - SS. Quirico e Giulitta,Brenta – VedutaBrenta - SS. Quirico e Giulitta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,"Gianpietro Ballardin (lista civica Uniti per Brenta) dal 5-6-2016, 2º mandato"
Territorio,Territorio
Coordinate,45°54′N 8°41′E
Altitudine,276 m s.l.m.
Superficie,"4,18 km²"
Abitanti,1 695[1] (30-11-2025)
Densità,"405,5 ab./km²"
Frazioni,loc. S. Quirico
Comuni confinanti,"Azzio, Casalzuigno, Castelveccana, Cittiglio, Gemonio"
Altre informazioni,Altre informazioni
Cod. postale,21030
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012019
Cod. catastale,B150
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 531 GG[3]"
Nome abitanti,brentesi
Patrono,santi Vito e Modesto
Giorno festivo,15 giugno
Cartografia,Cartografia
Brenta,Brenta
Brenta – MappaPosizione del comune di Brenta nella provincia di Varese,Brenta – MappaPosizione del comune di Brenta nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
