Gorla Maggiore comune,Gorla Maggiore comune.1
,
Gorla Maggiore – Veduta,Gorla Maggiore – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Pietro Zappamiglio (lista civica Fare comune) dal 1-6-2015 (2º mandato dal 22-9-2020)
Territorio,Territorio
Coordinate,45°40′19″N 8°54′00″E
Altitudine,254 m s.l.m.
Superficie,"5,16 km²"
Abitanti,4 773[1] (30-11-2025)
Densità,925 ab./km²
Comuni confinanti,"Carbonate (CO), Fagnano Olona, Gorla Minore, Locate Varesino (CO), Mozzate (CO), Solbiate Olona"
Altre informazioni,Altre informazioni
Cod. postale,21050
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,012078
Cod. catastale,E101
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 905 GG[3]"
Nome abitanti,gorlesi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Gorla Maggiore,Gorla Maggiore
Gorla Maggiore – MappaPosizione del comune di Gorla Maggiore nella provincia di Varese,Gorla Maggiore – MappaPosizione del comune di Gorla Maggiore nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
