Castello Cabiaglio comune,Castello Cabiaglio comune.1
,
Castello Cabiaglio – Veduta,Castello Cabiaglio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Marco Galbiati (lista civica InContriamoCi) dal 10-6-2024 (4º mandato)[1]
Territorio,Territorio
Coordinate,45°53′38″N 8°45′25″E
Altitudine,514 m s.l.m.
Superficie,"6,98 km²"
Abitanti,554[2] (30-11-2025)
Densità,"79,37 ab./km²"
Comuni confinanti,"Barasso, Brinzio, Comerio, Cuveglio, Cuvio, Luvinate, Rancio Valcuvia, Varese"
Altre informazioni,Altre informazioni
Cod. postale,21030
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012043
Cod. catastale,B312
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 756 GG[4]"
Nome abitanti,Cabiagliesi
Patrono,Sant'Appiano
Cartografia,Cartografia
Castello Cabiaglio,Castello Cabiaglio
Castello Cabiaglio – MappaPosizione del comune di Castello Cabiaglio nella provincia di Varese,Castello Cabiaglio – MappaPosizione del comune di Castello Cabiaglio nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
