Curiglia con Monteviasco comune,Curiglia con Monteviasco comune.1
,
Curiglia con Monteviasco – VedutaMonteviasco,Curiglia con Monteviasco – VedutaMonteviasco
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Nora Sahnane (lista civica Insieme per Curiglia Monteviasco Piero) dal 27-5-2019[1] (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,46°03′36.72″N 8°48′15.48″E
Altitudine,670 m s.l.m.
Superficie,"10,85 km²"
Abitanti,142[2] (30-11-2025)
Densità,"13,09 ab./km²"
Frazioni,"Alpe Cà del Sasso, Alpe Corte, Alpe Cortetti, Alpe Fontanella, Alpe Merigetto, Alpe Pian Cavurico, Alpe Polusa, Alpe Rattaiola, Alpe Rivo, Alpone, Curiglia, Madonna della Guardia, Monte Lema, Monteviasco, Mulini, Piero, Ponte di Piero, Sarona, Viasco"
Comuni confinanti,"Alto Malcantone (CH-TI), Dumenza, Gambarogno (CH-TI), Lema (CH-TI), Maccagno con Pino e Veddasca"
Altre informazioni,Altre informazioni
Cod. postale,21010
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012061
Cod. catastale,D217
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona F, 3 050 GG[4]"
Nome abitanti,"curigliesi (Curiglia), Montini (Monteviasco)"
Cartografia,Cartografia
Curiglia con Monteviasco,Curiglia con Monteviasco
Curiglia con Monteviasco – MappaIl territorio comunale all'interno della provincia di Varese,Curiglia con Monteviasco – MappaIl territorio comunale all'interno della provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
