Lonate Ceppino comune,Lonate Ceppino comune.1
,
Lonate Ceppino – Veduta,Lonate Ceppino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Clara Della Pozza (Lega e civici) dal 22-9-2020
Territorio,Territorio
Coordinate,45°42′36.9″N 8°52′51.46″E
Altitudine,287 m s.l.m.
Superficie,"4,84 km²"
Abitanti,5 188[1] (30-11-2025)
Densità,"1 071,9 ab./km²"
Comuni confinanti,"Cairate, Castelseprio, Gornate Olona, Tradate, Venegono Inferiore"
Altre informazioni,Altre informazioni
Cod. postale,21050
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,012089
Cod. catastale,E665
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 540 GG[3]"
Nome abitanti,lonatesi
Patrono,santi Pietro e Paolo e Beata Vergine Maria del Rosario
Giorno festivo,29 giugno e 2ª domenica d'ottobre
Cartografia,Cartografia
Lonate Ceppino,Lonate Ceppino
Lonate Ceppino – MappaPosizione del comune di Lonate Ceppino nella provincia di Varese,Lonate Ceppino – MappaPosizione del comune di Lonate Ceppino nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
