Gavirate comune,Gavirate comune.1
,
Gavirate – VedutaVista di Gavirate,Gavirate – VedutaVista di Gavirate
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Massimo Parola (lista civica Gavirate in Comune) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,45°51′N 8°43′E
Altitudine,261 m s.l.m.
Superficie,"12,01 km²"
Abitanti,9 147[2] (30-11-2025)
Densità,"761,62 ab./km²"
Frazioni,"Groppello, Oltrona al Lago, Voltorre, Fignano, Armino"
Comuni confinanti,"Barasso, Bardello con Malgesso e Bregano, Besozzo, Biandronno, Casciago, Cocquio-Trevisago, Comerio, Cuvio, Varese"
Altre informazioni,Altre informazioni
Cod. postale,21026
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012072
Cod. catastale,D946
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 511 GG[4]"
Nome abitanti,gaviratesi
Patrono,san Giovanni Evangelista
Giorno festivo,27 dicembre
Cartografia,Cartografia
Gavirate,Gavirate
Gavirate – MappaPosizione del comune di Gavirate nella provincia di Varese,Gavirate – MappaPosizione del comune di Gavirate nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
