Cremenaga comune,Cremenaga comune.1
,
Cremenaga – VedutaLa dogana italo-elvetica di Ponte Cremenaga,Cremenaga – VedutaLa dogana italo-elvetica di Ponte Cremenaga
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,"Rigazzi Domenico (lista civica Unione Democratica Cremenaga) dal 05-06-2016, 2º mandato"
Territorio,Territorio
Coordinate,45°59′25″N 8°48′15″E
Altitudine,281 m s.l.m.
Superficie,"4,55 km²"
Abitanti,779[1] (30-11-2025)
Densità,"171,21 ab./km²"
Frazioni,"Campagna, Cascina Porsù, Mirabello, Monte Sette Termini (i Bedeloni), Sasso del Castello"
Comuni confinanti,"Cadegliano-Viconago, Cugliate-Fabiasco, Luino, Tresa (CH-TI), Montegrino Valtravaglia"
Altre informazioni,Altre informazioni
Cod. postale,21030
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012056
Cod. catastale,D144
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 543 GG[3]"
Nome abitanti,cremenaghesi
Cartografia,Cartografia
Cremenaga,Cremenaga
Cremenaga – MappaPosizione del comune di Cremenaga nella provincia di Varese,Cremenaga – MappaPosizione del comune di Cremenaga nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
