Marzio comune,Marzio comune.1
,
Marzio – Veduta,Marzio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Maurizio Frontali (lista civica Uniti per Marzio) dal 10-6-2024 (4º mandato)[1]
Territorio,Territorio
Coordinate,45°56′13.48″N 8°51′38.99″E
Altitudine,728 m s.l.m.
Superficie,"1,86 km²"
Abitanti,311[2] (30-11-2025)
Densità,"167,2 ab./km²"
Comuni confinanti,"Brusimpiano, Cadegliano Viconago, Cuasso al Monte, Lavena Ponte Tresa, Marchirolo"
Altre informazioni,Altre informazioni
Cod. postale,21030
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012099
Cod. catastale,F002
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona F, 3 142 GG[4]"
Nome abitanti,marziesi [5]
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Marzio,Marzio
Marzio – MappaPosizione del comune di Marzio nella provincia di Varese,Marzio – MappaPosizione del comune di Marzio nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
