Gornate Olona comune,Gornate Olona comune.1
,
Gornate Olona – VedutaIl monastero di Torba,Gornate Olona – VedutaIl monastero di Torba
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Emanuele Poretti (lista civica Insieme per Gornate) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,45°44′29.69″N 8°51′35.78″E
Altitudine,303 m s.l.m.
Superficie,"4,7 km²"
Abitanti,2 204[2] (30-11-2025)
Densità,"468,94 ab./km²"
Frazioni,"Biciccera, Madonnetta, San Pancrazio, Torba"
Comuni confinanti,"Carnago, Caronno Varesino, Castelseprio, Castiglione Olona, Lonate Ceppino, Morazzone, Venegono Inferiore"
Altre informazioni,Altre informazioni
Cod. postale,21040
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,012080
Cod. catastale,E104
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 562 GG[4]"
Nome abitanti,gornatesi
Cartografia,Cartografia
Gornate Olona,Gornate Olona
Gornate Olona – MappaPosizione del comune di Gornate-Olona nella provincia di Varese,Gornate Olona – MappaPosizione del comune di Gornate-Olona nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
