Tronzano Lago Maggiore comune,Tronzano Lago Maggiore comune.1
,
Tronzano Lago Maggiore – Veduta,Tronzano Lago Maggiore – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Antonio Palmieri (lista civica Tutti insieme per Tronzano) dal 27/05/2019[1] (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,46°05′N 8°44′E
Altitudine,342 m s.l.m.
Superficie,"11,06 km²"
Abitanti,223[2] (30-11-2025)
Densità,"20,16 ab./km²"
Frazioni,"Bassano, Il Bersagliere, La Costa, La Crocetta, La Mora, Lanterna, Monte Borgna, Monti di Bassano, Poggio, Porto, Riva, Ronco Scigolino, Santa Maria di Lourdes"
Comuni confinanti,"Brissago (CH-TI), Cannobio (VB), Maccagno con Pino e Veddasca"
Altre informazioni,Altre informazioni
Cod. postale,21010
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012129
Cod. catastale,A705
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 597 GG[4]"
Nome abitanti,tronzanesi
Cartografia,Cartografia
Tronzano Lago Maggiore,Tronzano Lago Maggiore
Tronzano Lago Maggiore – MappaPosizione del comune di Tronzano Lago Maggiore nella provincia di Varese,Tronzano Lago Maggiore – MappaPosizione del comune di Tronzano Lago Maggiore nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
