Cassano Valcuvia comune,Cassano Valcuvia comune.1
,
Cassano Valcuvia – Veduta,Cassano Valcuvia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Claudio Bossi (lista civica Vivi Cassano) dal 10/06/2024 (1º mandato)[1]
Territorio,Territorio
Coordinate,45°55′57.5″N 8°46′06.1″E
Altitudine,296 m s.l.m.
Superficie,"3,95 km²"
Abitanti,647[2] (30-11-2025)
Densità,"163,8 ab./km²"
Frazioni,"Noga, Sotto il Sasso, Via Provinciale"
Comuni confinanti,"Cuveglio, Duno, Ferrera di Varese, Grantola, Mesenzana, Rancio Valcuvia"
Altre informazioni,Altre informazioni
Cod. postale,21030
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012041
Cod. catastale,B999
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 534 GG[4]"
Nome abitanti,cassanesi
Patrono,santi Ippolito e Cassiano
Giorno festivo,13 agosto
Cartografia,Cartografia
Cassano Valcuvia,Cassano Valcuvia
Cassano Valcuvia – MappaPosizione del comune di Cassano Valcuvia nella provincia di Varese,Cassano Valcuvia – MappaPosizione del comune di Cassano Valcuvia nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
