Cardano al Campo comune,Cardano al Campo comune.1
,
Cardano al Campo – Veduta,Cardano al Campo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Lorenzo Aspesi (lista civica Per Cardano) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,45°38′39.41″N 8°46′20.93″E
Altitudine,240 m s.l.m.
Superficie,"9,42 km²"
Abitanti,14 753[2] (30-11-2025)
Densità,"1 566,14 ab./km²"
Comuni confinanti,"Casorate Sempione, Gallarate, Samarate, Somma Lombardo"
Altre informazioni,Altre informazioni
Cod. postale,21010
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,012032
Cod. catastale,B754
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 880 GG[4]"
Nome abitanti,cardanesi
Patrono,sant'Anastasio
Giorno festivo,22 gennaio
Cartografia,Cartografia
Cardano al Campo,Cardano al Campo
Cardano al Campo – MappaPosizione del comune di Cardano al Campo nella provincia di Varese,Cardano al Campo – MappaPosizione del comune di Cardano al Campo nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
