Brissago Valtravaglia comune,Brissago Valtravaglia comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Maurizio Badiali (lista civica) dal 12-6-2023
Territorio,Territorio
Coordinate,45°57′02.16″N 8°44′24.72″E
Altitudine,429 m s.l.m.
Superficie,"6,12 km²"
Abitanti,1 319[1] (30-11-2025)
Densità,"215,52 ab./km²"
Frazioni,"Monte San Michele, Motto Inferiore, Motto Superiore, Novello, Piano, Roggiano"
Comuni confinanti,"Brezzo di Bedero, Duno, Germignaga, Mesenzana, Montegrino Valtravaglia, Porto Valtravaglia"
Altre informazioni,Altre informazioni
Cod. postale,21030
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012022
Cod. catastale,B191
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 772 GG[3]"
Nome abitanti,brissaghesi
Patrono,san Giorgio martire
Giorno festivo,23 aprile
Cartografia,Cartografia
Brissago Valtravaglia,Brissago Valtravaglia
Brissago Valtravaglia – MappaPosizione del comune di Brissago-Valtravaglia nella provincia di Varese,Brissago Valtravaglia – MappaPosizione del comune di Brissago-Valtravaglia nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
