Induno Olona comune,Induno Olona comune.1
,
Induno Olona – VedutaVisione panoramica del centro storico di Induno Olona: sullo sfondo il massiccio del Campo dei Fiori di Varese,Induno Olona – VedutaVisione panoramica del centro storico di Induno Olona: sullo sfondo il massiccio del Campo dei Fiori di Varese
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Giorgio Castelli (lista civica Insieme per Induno) dal 10-06-2024[1]
Territorio,Territorio
Coordinate,45°51′N 8°50′E
Altitudine,394 m s.l.m.
Superficie,"12,37 km²"
Abitanti,10 468[2] (30-11-2025)
Densità,"846,24 ab./km²"
Frazioni,"Broglio, Dardo, Frascarolo, Motta, Pezza, Pradasott, Olona, San Bernardino, San Cassano, San Paolo, San Pietro, San Salvatore"
Comuni confinanti,"Arcisate, Brinzio, Valganna, Varese"
Altre informazioni,Altre informazioni
Cod. postale,21056
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012083
Cod. catastale,E299
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 669 GG[4]"
Nome abitanti,indunesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Induno Olona,Induno Olona
Induno Olona – MappaPosizione del comune di Induno Olona nella provincia di Varese,Induno Olona – MappaPosizione del comune di Induno Olona nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
