Cadrezzate con Osmate comune,Cadrezzate con Osmate comune.1
,
Cadrezzate con Osmate – VedutaLa sede del comune sita a Cadrezzate,Cadrezzate con Osmate – VedutaLa sede del comune sita a Cadrezzate
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Capoluogo,Cadrezzate
Sindaco,Cristian Robustellini (lista civica Unione) dal 27-5-2019 (2º mandato dal 10-6-2024)
Data di istituzione,15/02/2019
Territorio,Territorio
Coordinate del capoluogo,45°47′52.52″N 8°38′35.3″E
Altitudine,281 m s.l.m.
Superficie,"8,25 km²"
Abitanti,2 732[1] (30-11-2025)
Densità,"331,15 ab./km²"
Frazioni,"Cadrezzate, Osmate"
Comuni confinanti,"Angera, Comabbio, Ispra, Sesto Calende, Travedona Monate"
Altre informazioni,Altre informazioni
Cod. postale,21062
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,012143
Cod. catastale,M425
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 585 GG[3]"
Nome abitanti,cadrezzatesi e osmatesi
Patrono,"santa Margherita, santi Cosma e Damiano"
Giorno festivo,20 luglio e 26 settembre
Cartografia,Cartografia
Cadrezzate,Cadrezzate
Cadrezzate con Osmate – MappaPosizione del comune di Cadrezzate con Osmate nella provincia di Varese,Cadrezzate con Osmate – MappaPosizione del comune di Cadrezzate con Osmate nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
