Vergiate comune,Vergiate comune.1
,
Vergiate – VedutaLa parrocchiale di San Martino,Vergiate – VedutaLa parrocchiale di San Martino
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Daniele Parrino (lista civica Uniti per Vergiate) dal 4-10-2021
Territorio,Territorio
Coordinate,45°43′N 8°42′E
Altitudine,270 m s.l.m.
Superficie,"21,78 km²"
Abitanti,8 642[1] (30-11-2025)
Densità,"396,79 ab./km²"
Frazioni,"Cascina Prada, Cimbro, Corgeno, Cuirone, Sesona"
Comuni confinanti,"Arsago Seprio, Casale Litta, Comabbio, Golasecca, Mercallo, Mornago, Sesto Calende, Somma Lombardo, Varano Borghi"
Altre informazioni,Altre informazioni
Cod. postale,21029
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,012138
Cod. catastale,L765
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 498 GG[3]"
Nome abitanti,vergiatesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Vergiate,Vergiate
Vergiate – MappaPosizione del comune di Vergiate nella provincia di Varese,Vergiate – MappaPosizione del comune di Vergiate nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
