Mornago comune,Mornago comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Davide Tamborini (lista civica Viviamo Mornago) dal 10-6-2024 [1]
Territorio,Territorio
Coordinate,45°45′N 8°45′E
Altitudine,250 m s.l.m.
Superficie,"12,24 km²"
Abitanti,4 844[2] (30-11-2025)
Densità,"395,75 ab./km²"
Frazioni,"Crugnola, Montonate, Vinago"
Comuni confinanti,"Arsago Seprio, Besnate, Casale Litta, Crosio della Valle, Sumirago, Vergiate"
Altre informazioni,Altre informazioni
Cod. postale,21020
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,012106
Cod. catastale,F736
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 513 GG[4]"
Nome abitanti,mornaghesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Mornago,Mornago
Mornago – MappaPosizione del comune di Mornago nella provincia di Varese,Mornago – MappaPosizione del comune di Mornago nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
