Caronno Pertusella comune,Caronno Pertusella comune.1
,
Caronno Pertusella – Veduta,Caronno Pertusella – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Marco Giudici (PD) dal 20-6-2016 (2º mandato dal 5-10-2021)
Territorio,Territorio
Coordinate,45°36′N 9°03′E
Altitudine,194 m s.l.m.
Superficie,"8,4 km²"
Abitanti,18 534[1] (30-11-2025)
Densità,"2 206,43 ab./km²"
Frazioni,Bariola
Comuni confinanti,"Cesate (MI), Garbagnate Milanese (MI), Lainate (MI), Origgio, Saronno, Solaro (MI)"
Altre informazioni,Altre informazioni
Cod. postale,21042
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,012034
Cod. catastale,B805
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,"Caronnesi, Perseghini e Bariolesi"
Patrono,"santa Margherita, sant'Alessandro, san Giuseppe falegname."
Cartografia,Cartografia
Caronno Pertusella,Caronno Pertusella
Caronno Pertusella – MappaPosizione del comune di Caronno Pertusella nella provincia di Varese,Caronno Pertusella – MappaPosizione del comune di Caronno Pertusella nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
