Masciago Primo comune,Masciago Primo comune.1
,
Masciago Primo – VedutaChiesa di Sant'Agnese,Masciago Primo – VedutaChiesa di Sant'Agnese
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Marco Magrini (lista civica Masciago al centro) dal 22-9-2020
Territorio,Territorio
Coordinate,45°55′N 8°47′E
Altitudine,347 m s.l.m.
Superficie,"1,81 km²"
Abitanti,280[1] (30-11-2025)
Densità,"154,7 ab./km²"
Frazioni,"Località Mondada, Località Muniscione"
Comuni confinanti,"Bedero Valcuvia, Cunardo, Ferrera di Varese, Rancio Valcuvia"
Altre informazioni,Altre informazioni
Cod. postale,21030
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012100
Cod. catastale,F007
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 599 GG[3]"
Nome abitanti,masciaghesi
Patrono,sant'Agnese
Giorno festivo,prima domenica di settembre
Cartografia,Cartografia
Masciago Primo,Masciago Primo
Masciago Primo – MappaPosizione del comune di Masciago Primo nella provincia di Varese,Masciago Primo – MappaPosizione del comune di Masciago Primo nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
