Cislago comune,Cislago comune.1
,
Cislago – Veduta,Cislago – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Stefano Calegari (lista civica IES – Impegno e Serietà) dal 05-10-2021
Territorio,Territorio
Coordinate,45°39′N 8°58′E
Altitudine,237 m s.l.m.
Superficie,"11,13 km²"
Abitanti,10 568[1] (30-11-2025)
Densità,"949,51 ab./km²"
Frazioni,"Massina, Cascina Visconta, Cascina Mombello, Santa Maria Iniziata"
Comuni confinanti,"Gerenzano, Gorla Minore, Limido Comasco (CO), Mozzate (CO), Rescaldina (MI), Turate (CO)"
Altre informazioni,Altre informazioni
Cod. postale,21040
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,012050
Cod. catastale,C732
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 876 GG[3]"
Nome abitanti,Cislaghesi
Patrono,"Madonna Assunta, sant'Abbondanzio"
Giorno festivo,"15 agosto, il secondo lunedì dopo Pasqua"
Cartografia,Cartografia
Cislago,Cislago
Cislago – MappaPosizione del comune di Cislago nella provincia di Varese,Cislago – MappaPosizione del comune di Cislago nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
