Casorate Sempione comune,Casorate Sempione comune.1
,
Casorate Sempione – Veduta,Casorate Sempione – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Dimitri Cassani (lista civica di centrodestra Rinascita Civica) dal 1-6-2015 (2º mandato dal 22-9-2020)
Territorio,Territorio
Coordinate,45°40′N 8°44′E
Altitudine,282 m s.l.m.
Superficie,"6,91 km²"
Abitanti,5 644[1] (30-11-2025)
Densità,"816,79 ab./km²"
Frazioni,Nessuna
Comuni confinanti,"Arsago Seprio, Cardano al Campo, Gallarate, Somma Lombardo"
Altre informazioni,Altre informazioni
Cod. postale,21011
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,012039
Cod. catastale,B987
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 938 GG[3]"
Nome abitanti,Casoratesi
Patrono,Sant'Ilario e San Tito
Giorno festivo,13 gennaio (Sant'Ilario) Si tiene ogni 10 anni dal 476 (San Tito)
PIL procapite,(nominale) 20000 $
Cartografia,Cartografia
Casorate Sempione,Casorate Sempione
Casorate Sempione – MappaPosizione del comune di Casorate Sempione nella provincia di Varese.,Casorate Sempione – MappaPosizione del comune di Casorate Sempione nella provincia di Varese.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
