Gemonio comune,Gemonio comune.1
,
Gemonio – VedutaChiesa di San Pietro,Gemonio – VedutaChiesa di San Pietro
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Samuel Lucchini (lista civica Impegno civico) dal 1-6-2015 (2º mandato dal 22-9-2020)
Territorio,Territorio
Coordinate,45°53′N 8°41′E
Altitudine,303 m s.l.m.
Superficie,"3,67 km²"
Abitanti,2 869[1] (30-11-2025)
Densità,"781,74 ab./km²"
Comuni confinanti,"Azzio, Brenta, Caravate, Cittiglio, Cocquio-Trevisago"
Altre informazioni,Altre informazioni
Cod. postale,21036
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012074
Cod. catastale,D963
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 569 GG[3]"
Nome abitanti,gemoniesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Gemonio,Gemonio
Gemonio – MappaPosizione del comune di Gemonio nella provincia di Varese,Gemonio – MappaPosizione del comune di Gemonio nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
