Taino comune,Taino comune.1
,
Taino – VedutaChiesa parrocchiale di Santo Stefano,Taino – VedutaChiesa parrocchiale di Santo Stefano
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Stefano Ghiringhelli (lista civica #VaTaino) dal 10-6-2024 (3º mandato)[1]
Territorio,Territorio
Coordinate,45°46′N 8°37′E
Altitudine,262 m s.l.m.
Superficie,"7,63 km²"
Abitanti,3 557[2] (30-11-2025)
Densità,"466,19 ab./km²"
Frazioni,Cheglio
Comuni confinanti,"Angera, Sesto Calende"
Altre informazioni,Altre informazioni
Cod. postale,21020
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,012125
Cod. catastale,L032
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 487 GG[4]"
Nome abitanti,tainesi (in dialetto locale dùmit)
Patrono,santo Stefano
Giorno festivo,26 dicembre
Cartografia,Cartografia
Taino,Taino
Taino – MappaPosizione del comune di Taino nella provincia di Varese,Taino – MappaPosizione del comune di Taino nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
