Casalzuigno comune,Casalzuigno comune.1
,
Casalzuigno – VedutaPiazza Zaffrani innevata (2008),Casalzuigno – VedutaPiazza Zaffrani innevata (2008)
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Danilo De Rocchi (lista civica Siamo Casalzuigno) dal 27-5-2019[1] (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°54′N 8°42′E
Altitudine,350 m s.l.m.
Superficie,"7,32 km²"
Abitanti,1 411[2] (30-11-2025)
Densità,"192,76 ab./km²"
Frazioni,"Arcumeggia, Aga, Sanda, Casale, Ronco, Cariola"
Comuni confinanti,"Azzio, Brenta, Castelveccana, Cuveglio, Cuvio, Duno, Porto Valtravaglia"
Altre informazioni,Altre informazioni
Cod. postale,21030
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012037
Cod. catastale,B921
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 608 GG[4]"
Nome abitanti,casalzuignesi
Patrono,san Vittore
Giorno festivo,8 maggio
Cartografia,Cartografia
Casalzuigno,Casalzuigno
Casalzuigno – MappaPosizione del comune di Casalzuigno nella provincia di Varese,Casalzuigno – MappaPosizione del comune di Casalzuigno nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
