Carnago comune,Carnago comune.1
,
Carnago – Veduta,Carnago – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Barbara Carabelli (lista civica Vivere Carnago e Rovate) dal 27-5-2019[1] (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°43′N 8°50′E
Altitudine,354 m s.l.m.
Superficie,"6,21 km²"
Abitanti,6 614[2] (30-11-2025)
Densità,"1 065,06 ab./km²"
Frazioni,Rovate
Comuni confinanti,"Cairate, Caronno Varesino, Cassano Magnago, Castelseprio, Gornate-Olona, Oggiona con Santo Stefano, Solbiate Arno"
Altre informazioni,Altre informazioni
Cod. postale,21040
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,012033
Cod. catastale,B796
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 633 GG[4]"
Nome abitanti,carnaghesi
Patrono,san Martino
Giorno festivo,11 settembre
Cartografia,Cartografia
Carnago,Carnago
Carnago – MappaPosizione del comune di Carnago nella provincia di Varese,Carnago – MappaPosizione del comune di Carnago nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
