Lonate Pozzolo comune,Lonate Pozzolo comune.1
,
Lonate Pozzolo – Veduta,Lonate Pozzolo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Elena Carraro (centro-destra) dal 15-5-2023
Territorio,Territorio
Coordinate,45°36′N 8°45′E
Altitudine,205 m s.l.m.
Superficie,"29,24 km²"
Abitanti,11 343[1] (30-11-2025)
Densità,"387,93 ab./km²"
Frazioni,"Cascina Maggia, Sant'Antonino Ticino, Tornavento"
Comuni confinanti,"Bellinzago Novarese (NO), Castano Primo (MI), Ferno, Nosate (MI), Oleggio (NO), Samarate, Vanzaghello (MI), Vizzola Ticino"
Altre informazioni,Altre informazioni
Cod. postale,21015
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,012090
Cod. catastale,E666
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 879 GG[3]"
Nome abitanti,lonatesi
Patrono,sant'Ambrogio
Giorno festivo,7 dicembre
Cartografia,Cartografia
Lonate Pozzolo,Lonate Pozzolo
Lonate Pozzolo – MappaPosizione del comune di Lonate Pozzolo nella provincia di Varese,Lonate Pozzolo – MappaPosizione del comune di Lonate Pozzolo nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
