Gerenzano comune,Gerenzano comune.1
,
"Gerenzano – VedutaVeduta notturna di Piazza XXV Aprile, Gerenzano","Gerenzano – VedutaVeduta notturna di Piazza XXV Aprile, Gerenzano"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Stefania Castagnoli (lista civica Insieme e Libertà) dal 13-06-2022
Territorio,Territorio
Coordinate,45°38′26″N 9°00′07″E
Altitudine,226 m s.l.m.
Superficie,"9,79 km²"
Abitanti,11 030[1] (30-11-2025)
Densità,"1 126,66 ab./km²"
Comuni confinanti,"Cislago, Rescaldina (MI), Rovello Porro (CO), Saronno, Turate (CO), Uboldo"
Altre informazioni,Altre informazioni
Cod. postale,21040
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,012075
Cod. catastale,D981
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 437 GG[3]"
Nome abitanti,gerenzanesi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Gerenzano,Gerenzano
Gerenzano – MappaPosizione del comune di Gerenzano nella provincia di Varese,Gerenzano – MappaPosizione del comune di Gerenzano nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
