Bodio Lomnago comune,Bodio Lomnago comune.1
,
Bodio Lomnago – Veduta,Bodio Lomnago – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Eleonora Paolelli (lista civica Cittadini in movimento Bodio Lomnago) dal 10-6-2024 (3º mandato)[1]
Territorio,Territorio
Coordinate,45°47′N 8°45′E
Altitudine,273 m s.l.m.
Superficie,"4,04 km²"
Abitanti,2 250[2] (30-11-2025)
Densità,"556,93 ab./km²"
Frazioni,"Lomnago, Rogorella, Boffalora, Pizzo, Porto, Roccolo"
Comuni confinanti,"Casale Litta, Cazzago Brabbia, Daverio, Galliate Lombardo, Inarzo, Varese"
Altre informazioni,Altre informazioni
Cod. postale,21020
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012016
Cod. catastale,A918
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 521 GG[4]"
Nome abitanti,bodiesi
Patrono,sant'Anna
Giorno festivo,26 luglio
Cartografia,Cartografia
Bodio Lomnago,Bodio Lomnago
Bodio Lomnago – MappaPosizione del comune di Bodio Lomnago nella provincia di Varese,Bodio Lomnago – MappaPosizione del comune di Bodio Lomnago nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
