Vedano Olona comune,Vedano Olona comune.1
,
Vedano Olona – VedutaLa parrocchiale di San Maurizio,Vedano Olona – VedutaLa parrocchiale di San Maurizio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Sergio Mina (lista civica Polo civico vedanese) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,45°46′36.84″N 8°53′12.84″E
Altitudine,360 m s.l.m.
Superficie,"7,08 km²"
Abitanti,7 455[2] (30-11-2025)
Densità,"1 052,97 ab./km²"
Frazioni,nessuna
Comuni confinanti,"Binago (CO), Castiglione Olona, Lozza, Malnate, Venegono Superiore"
Altre informazioni,Altre informazioni
Cod. postale,21040
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012134
Cod. catastale,L703
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 641 GG[4]"
Nome abitanti,vedanesi
Patrono,san Maurizio
Giorno festivo,22 settembre
Cartografia,Cartografia
Vedano Olona,Vedano Olona
Vedano Olona – MappaPosizione del comune di Vedano Olona nella provincia di Varese,Vedano Olona – MappaPosizione del comune di Vedano Olona nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
