Origgio comune,Origgio comune.1
,
"Origgio – VedutaLa Torre ai Caduti, nella piazza principale del paese","Origgio – VedutaLa Torre ai Caduti, nella piazza principale del paese"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Evasio Regnicoli (Lega e civici) dal 22-09-2020
Territorio,Territorio
Coordinate,45°35′49″N 9°01′06″E
Altitudine,194 m s.l.m.
Superficie,"7,92 km²"
Abitanti,8 065[1] (30-11-2025)
Densità,"1 018,31 ab./km²"
Frazioni,"Cascina Muschiona, Cascina Broggio"
Comuni confinanti,"Caronno Pertusella, Cerro Maggiore (MI), Lainate (MI), Nerviano (MI), Saronno, Uboldo"
Altre informazioni,Altre informazioni
Cod. postale,21040
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,012109
Cod. catastale,G103
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 393 GG[3]"
Nome abitanti,origgesi
Patrono,Natività di Maria Vergine
Giorno festivo,seconda domenica di settembre
Cartografia,Cartografia
Origgio,Origgio
Origgio – MappaPosizione del comune di Origgio nella provincia di Varese,Origgio – MappaPosizione del comune di Origgio nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
