Biandronno comune,Biandronno comune.1
,
Biandronno – VedutaMunicipio,Biandronno – VedutaMunicipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Massimo Porotti (centrodestra-civici) dal 27-5-2019[1] (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°49′N 8°43′E
Altitudine,262 m s.l.m.
Superficie,"9,52 km²"
Abitanti,3 184[2] (30-11-2025)
Densità,"334,45 ab./km²"
Frazioni,Cassinetta[3]
Comuni confinanti,"Bardello con Malgesso e Bregano, Cazzago Brabbia, Gavirate, Ternate, Travedona Monate, Varese"
Altre informazioni,Altre informazioni
Cod. postale,21024
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012014
Cod. catastale,A845
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[4]
Cl. climatica,"zona E, 2 512 GG[5]"
Nome abitanti,biandronnesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Biandronno,Biandronno
Biandronno – MappaPosizione del comune di Biandronno nella provincia di Varese,Biandronno – MappaPosizione del comune di Biandronno nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
