Sangiano comune,Sangiano comune.1
,
Sangiano – Veduta,Sangiano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Matteo Marchesi (lista civica Progetto Sangiano) dal 13-6-2022
Territorio,Territorio
Coordinate,45°52′29.28″N 8°38′00.24″E
Altitudine,228 m s.l.m.
Superficie,"2,22 km²"
Abitanti,1 430[1] (30-11-2025)
Densità,"644,14 ab./km²"
Comuni confinanti,"Caravate, Laveno-Mombello, Leggiuno"
Altre informazioni,Altre informazioni
Cod. postale,21038
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012141
Cod. catastale,H872
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 458 GG[3]"
Nome abitanti,sangianesi
Patrono,sant'Andrea Apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Sangiano,Sangiano
Sangiano – MappaPosizione del comune di Sangiano nella provincia di Varese,Sangiano – MappaPosizione del comune di Sangiano nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
