Azzate comune,Azzate comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Raffaele Simone (lista civica Azzate a colori) dal 15-5-2023
Territorio,Territorio
Coordinate,45°46′49.08″N 8°47′37.68″E
Altitudine,332 m s.l.m.
Superficie,"4,51 km²"
Abitanti,4 662[1] (30-11-2025)
Densità,"1 033,7 ab./km²"
Frazioni,"Castello, Erbamolle, Vegonno, Rione La Prussia, Roncasnino"
Comuni confinanti,"Brunello, Buguggiate, Crosio della Valle, Daverio, Galliate Lombardo, Sumirago, Varese"
Altre informazioni,Altre informazioni
Cod. postale,21022
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012006
Cod. catastale,A531
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 602 GG[3]"
Nome abitanti,Azzatesi
Patrono,sant'Andrea
Giorno festivo,30 novembre
Cartografia,Cartografia
Azzate,Azzate
Azzate – MappaPosizione del comune di Azzate nella provincia di Varese,Azzate – MappaPosizione del comune di Azzate nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
