Brezzo di Bedero comune,Brezzo di Bedero comune.1
,
Brezzo di Bedero – Veduta,Brezzo di Bedero – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Boldrini Daniele (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,45°59′N 8°43′E
Altitudine,352 m s.l.m.
Superficie,"9,95 km²"
Abitanti,1 211[1] (30-11-2025)
Densità,"121,71 ab./km²"
Frazioni,"Alcio, Bedero, Brezzo, Cà Bianca, Casa Fioroli, Casa Passera, Casa Sirpo, Casa Spozio, La Canonica, Nonedo, Pralongo, Trigo, Villaggio Olandese"
Comuni confinanti,"Brissago-Valtravaglia, Cannero Riviera (VB), Germignaga, Oggebbio (VB), Porto Valtravaglia"
Altre informazioni,Altre informazioni
Cod. postale,21010
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012020
Cod. catastale,B166
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 668 GG[3]"
Nome abitanti,"brezzesi, bederesi"
Patrono,san Vittore
Giorno festivo,8 maggio
Cartografia,Cartografia
Brezzo di Bedero,Brezzo di Bedero
Brezzo di Bedero – MappaPosizione del comune di Brezzo di Bedero nella provincia di Varese,Brezzo di Bedero – MappaPosizione del comune di Brezzo di Bedero nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
