Ternate comune,Ternate comune.1
,
Ternate – Veduta,Ternate – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Lorenzo Baratelli (lista civica SiAmo Ternate) dal 27-5-2019[1] (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°47′N 8°42′E
Altitudine,281 m s.l.m.
Superficie,"4,68 km²"
Abitanti,2 539[2] (30-11-2025)
Densità,"542,52 ab./km²"
Comuni confinanti,"Biandronno, Cazzago Brabbia, Comabbio, Inarzo, Travedona Monate, Varano Borghi"
Altre informazioni,Altre informazioni
Cod. postale,21020
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012126
Cod. catastale,L115
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 513 GG[4]"
Nome abitanti,ternatesi
Patrono,Quirico e Giulitta
Giorno festivo,16 giugno
Cartografia,Cartografia
Ternate,Ternate
Ternate – MappaPosizione del comune di Ternate nella provincia di Varese,Ternate – MappaPosizione del comune di Ternate nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
