Venegono Superiore comune,Venegono Superiore comune.1
,
Venegono Superiore – Veduta,Venegono Superiore – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Fabiano Lorenzin (lista civica Con Senso Civico) dal 15-5-2023
Territorio,Territorio
Coordinate,45°45′N 8°54′E
Altitudine,331 m s.l.m.
Superficie,"6,73 km²"
Abitanti,7 534[1] (30-11-2025)
Densità,"1 119,47 ab./km²"
Frazioni,"Pianasca, San Giorgio"
Comuni confinanti,"Binago (CO), Castiglione Olona, Vedano Olona, Venegono Inferiore"
Altre informazioni,Altre informazioni
Cod. postale,21040
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,012137
Cod. catastale,L734
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 601 GG[3]"
Nome abitanti,venegonesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Venegono Superiore,Venegono Superiore
Venegono Superiore – MappaPosizione del comune di Venegono Superiore nella provincia di Varese,Venegono Superiore – MappaPosizione del comune di Venegono Superiore nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
