Venegono Inferiore comune,Venegono Inferiore comune.1
,
Venegono Inferiore – Veduta,Venegono Inferiore – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Mattia Premazzi (lista civica Venegono che vorrei) dal 10-6-2024 (3º mandato)[1]
Territorio,Territorio
Coordinate,45°44′N 8°54′E
Altitudine,345 m s.l.m.
Superficie,"5,88 km²"
Abitanti,5 920[2] (30-11-2025)
Densità,"1 006,8 ab./km²"
Comuni confinanti,"Binago (CO), Castelnuovo Bozzente (CO), Castiglione Olona, Gornate-Olona, Lonate Ceppino, Tradate, Venegono Superiore"
Altre informazioni,Altre informazioni
Cod. postale,21040
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,012136
Cod. catastale,L733
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 586 GG[4]"
Nome abitanti,venegonesi
Patrono,santi Filippo e Giacomo
Giorno festivo,3 maggio
Motto,VENUS PULCHRITUDINIS DEA
Cartografia,Cartografia
Venegono Inferiore,Venegono Inferiore
Venegono Inferiore – MappaPosizione del comune di Venegono Inferiore nella provincia di Varese,Venegono Inferiore – MappaPosizione del comune di Venegono Inferiore nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
