Sesto Calende comune,Sesto Calende comune.1
Città di Sesto Calende,Città di Sesto Calende
,
Sesto Calende – VedutaVeduta dal Ticino,Sesto Calende – VedutaVeduta dal Ticino
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Betta Giordani (lista civica Sesto Futura) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,45°44′N 8°38′E
Altitudine,198 m s.l.m.
Superficie,"25,04 km²"
Abitanti,11 005[2] (30-11-2025)
Densità,"439,5 ab./km²"
Frazioni,"Abbazia, Cocquo, San Giorgio, San Vincenzo e Loca, Sant'Anna, Lentate Verbano, Lisanza, Mulini, Oneda, Oriano Ticino, Centro storico."
Comuni confinanti,"Angera, Cadrezzate con Osmate, Castelletto sopra Ticino (NO), Comabbio, Dormelletto (NO), Golasecca, Mercallo, Taino, Vergiate"
Altre informazioni,Altre informazioni
Cod. postale,21018
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,012120
Cod. catastale,I688
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 620 GG[4]"
Nome abitanti,sestesi
Patrono,san Bernardino da Siena
Giorno festivo,20 maggio
Cartografia,Cartografia
Sesto Calende,Sesto Calende
Sesto Calende – MappaPosizione del comune di Sesto Calende nella provincia di Varese,Sesto Calende – MappaPosizione del comune di Sesto Calende nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
