Besnate comune,Besnate comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Giovanni Corbo (lista civica Con voi per Besnate) dal 26-5-2014 (3º mandato dal 10-6-2024)
Data di istituzione,1907
Territorio,Territorio
Coordinate,45°42′N 8°46′E
Altitudine,300 m s.l.m.
Superficie,"7,68 km²"
Abitanti,5 445[1] (30-11-2025)
Densità,"708,98 ab./km²"
Frazioni,"Buzzano, Centenate"
Comuni confinanti,"Arsago Seprio, Cavaria con Premezzo, Gallarate, Jerago con Orago, Mornago, Sumirago"
Altre informazioni,Altre informazioni
Cod. postale,21010
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,012012
Cod. catastale,A825
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 761 GG[3]"
Nome abitanti,Besnatesi
Patrono,san Martino vescovo
Giorno festivo,11 novembre
Cartografia,Cartografia
Besnate,Besnate
Besnate – MappaPosizione del comune di Besnate nella provincia di Varese,Besnate – MappaPosizione del comune di Besnate nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
