Porto Valtravaglia comune,Porto Valtravaglia comune.1
,
Porto Valtravaglia – Veduta,Porto Valtravaglia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Ermes Colombaroli (lista civica Passione Sogno Realtà) dal 27/05/2019[1] (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°57′40.68″N 8°40′53.4″E
Altitudine,199 m s.l.m.
Superficie,"16,37 km²"
Abitanti,2 290[2] (30-11-2025)
Densità,"139,89 ab./km²"
Frazioni,"Domo, Ligurno, Muceno, Musadino, San Michele, Ticinallo, Torre[3]"
Comuni confinanti,"Brezzo di Bedero, Brissago-Valtravaglia, Casalzuigno, Castelveccana, Duno, Ghiffa (VB), Oggebbio (VB)"
Altre informazioni,Altre informazioni
Cod. postale,21010
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012114
Cod. catastale,G907
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[4]
Cl. climatica,"zona E, 2 425 GG[5]"
Nome abitanti,portovaltravagliesi
Patrono,S. Maria assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Porto Valtravaglia,Porto Valtravaglia
Porto Valtravaglia – MappaPosizione del comune di Porto Valtravaglia nella provincia di Varese,Porto Valtravaglia – MappaPosizione del comune di Porto Valtravaglia nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
