Varese comune,Varese comune.1
,
Varese – VedutaPanorama di Varese dal Campo dei Fiori,Varese – VedutaPanorama di Varese dal Campo dei Fiori
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Davide Galimberti (PD) dal 21-6-2016 (2º mandato dal 20-10-2021)
Territorio,Territorio
Coordinate,45°49′N 8°50′E
Altitudine,382 m s.l.m.
Superficie,"54,84 km²"
Acque interne,"3,5 km² (6,38%)"
Abitanti,79 081[1] (30-11-2025)
Densità,"1 442,03 ab./km²"
Frazioni,Vedi paragrafo
Comuni confinanti,"Arcisate, Azzate, Biandronno, Bodio Lomnago, Brinzio, Buguggiate, Cantello, Casciago, Castello Cabiaglio, Cazzago Brabbia, Galliate Lombardo, Gavirate, Gazzada Schianno, Induno Olona, Lozza, Luvinate, Malnate"
Altre informazioni,Altre informazioni
Cod. postale,21100
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012133
Cod. catastale,L682
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 652 GG[3]"
Nome abitanti,"varesini, bosini[4]"
Patrono,san Vittore il Moro
Giorno festivo,8 maggio
Cartografia,Cartografia
Varese,Varese
Varese – MappaIl territorio comunale all'interno della sua provincia,Varese – MappaIl territorio comunale all'interno della sua provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
