Marchirolo comune,Marchirolo comune.1
,
Marchirolo – Veduta,Marchirolo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,"Emanuele Maria Schipani (lista civica ""Marchirolo in Azione”) dal 13-06-2022"
Territorio,Territorio
Coordinate,45°57′00.36″N 8°49′55.92″E
Altitudine,500 m s.l.m.
Superficie,"5,49 km²"
Abitanti,3 578[1] (30-11-2025)
Densità,"651,73 ab./km²"
Comuni confinanti,"Cadegliano-Viconago, Cuasso al Monte, Cugliate-Fabiasco, Marzio."
Altre informazioni,Altre informazioni
Cod. postale,21030
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012097
Cod. catastale,E929
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 736 GG[3]"
Nome abitanti,marchirolesi
Patrono,san Martino
Giorno festivo,11 novembre
Motto,Nil difficile volenti
Cartografia,Cartografia
Marchirolo,Marchirolo
Marchirolo – MappaPosizione del comune di Marchirolo nella provincia di Varese,Marchirolo – MappaPosizione del comune di Marchirolo nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
