Cadegliano Viconago comune,Cadegliano Viconago comune.1
,
Cadegliano Viconago – VedutaIl centro abitato di Viconago,Cadegliano Viconago – VedutaIl centro abitato di Viconago
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,"Alberto Almieri (lista civica Progetto Comune) dal 5-10-2021, 1º mandato"
Territorio,Territorio
Coordinate,45°58′N 8°50′E
Altitudine,414 m s.l.m.
Superficie,"10,27 km²"
Abitanti,2 123[1] (30-11-2025)
Densità,"206,72 ab./km²"
Frazioni,"Arbizzo, Avigno, Cadegliano, Viconago"
Comuni confinanti,"Cremenaga, Cugliate Fabiasco, Lavena Ponte Tresa, Marchirolo, Marzio, Montegrino Valtravaglia, Tresa (CH-TI)"
Altre informazioni,Altre informazioni
Cod. postale,21031
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012027
Cod. catastale,B326
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 705 GG[3]"
Nome abitanti,cadeglianesi viconaghesi
Patrono,san Silvestro
Giorno festivo,31 dicembre
Cartografia,Cartografia
Cadegliano Viconago,Cadegliano Viconago
Cadegliano Viconago – MappaPosizione del comune di Cadegliano Viconago nella provincia di Varese,Cadegliano Viconago – MappaPosizione del comune di Cadegliano Viconago nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
