Cuvio comune,Cuvio comune.1
,
Cuvio – VedutaCuvio visto dal parco di Villa Bozzolo,Cuvio – VedutaCuvio visto dal parco di Villa Bozzolo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Luciano Maggi (lista civica Tre pini) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,45°54′N 8°44′E
Altitudine,309 m s.l.m.
Superficie,"5,96 km²"
Abitanti,1 761[2] (30-11-2025)
Densità,"295,47 ab./km²"
Frazioni,Comacchio
Comuni confinanti,"Azzio, Barasso, Casalzuigno, Castello Cabiaglio, Cocquio-Trevisago, Comerio, Cuveglio, Gavirate, Orino"
Altre informazioni,Altre informazioni
Cod. postale,21030
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012063
Cod. catastale,D239
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 577 GG[4]"
Nome abitanti,cuviesi
Cartografia,Cartografia
Cuvio,Cuvio
Cuvio – MappaPosizione del comune di Cuvio nella provincia di Varese,Cuvio – MappaPosizione del comune di Cuvio nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
