Caronno Varesino comune,Caronno Varesino comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Maria Rosa Broggini (lista civica SiAmo Caronno) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,45°44′N 8°50′E
Altitudine,403 m s.l.m.
Superficie,"5,75 km²"
Abitanti,4 804[2] (30-11-2025)
Densità,"835,48 ab./km²"
Frazioni,"Travaino, Stribiana, Palani , Cascina Papa , Cascina Trenca , Cascina Pollo , Sasso , Brughiera, Zoia."
Comuni confinanti,"Albizzate, Carnago, Castiglione Olona, Castronno, Gornate Olona, Morazzone, Solbiate Arno"
Altre informazioni,Altre informazioni
Cod. postale,21040
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,012035
Cod. catastale,B807
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 700 GG[4]"
Nome abitanti,caronnesi
Patrono,san Vincenzo martire
Giorno festivo,22 gennaio
Cartografia,Cartografia
Caronno Varesino,Caronno Varesino
Caronno Varesino – MappaPosizione del comune di Caronno Varesino nella provincia di Varese,Caronno Varesino – MappaPosizione del comune di Caronno Varesino nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
