Solbiate Arno comune,Solbiate Arno comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Oreste Battiston (lista civica Insieme per Solbiate) dal 26-5-2014 (3º mandato dal 10-6-2024[1])
Territorio,Territorio
Coordinate,45°43′N 8°49′E
Altitudine,325 m s.l.m.
Superficie,"3,03 km²"
Abitanti,4 050[2] (30-11-2025)
Densità,"1 336,63 ab./km²"
Comuni confinanti,"Albizzate, Carnago, Caronno Varesino, Jerago con Orago, Oggiona con Santo Stefano"
Altre informazioni,Altre informazioni
Cod. postale,21048
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,012121
Cod. catastale,I793
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 593 GG[4]"
Nome abitanti,solbiatesi
Patrono,san Maurizio
Cartografia,Cartografia
Solbiate Arno,Solbiate Arno
Solbiate Arno – MappaPosizione del comune di Solbiate Arno nella provincia di Varese,Solbiate Arno – MappaPosizione del comune di Solbiate Arno nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
