Azzio comune,Azzio comune.1
,
Azzio – VedutaChiesa del convento,Azzio – VedutaChiesa del convento
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Davide Vincenti (lista civica Insieme per Azzio) dal 10-6-2024 (3º mandato)[1]
Territorio,Territorio
Coordinate,45°53′N 8°42′E
Altitudine,399 m s.l.m.
Superficie,"2,17 km²"
Abitanti,755[2] (30-11-2025)
Densità,"347,93 ab./km²"
Comuni confinanti,"Brenta, Casalzuigno, Cocquio-Trevisago, Cuvio, Gemonio, Orino"
Altre informazioni,Altre informazioni
Cod. postale,21030
Prefisso,0332
Fuso orario,UTC+1
Codice ISTAT,012007
Cod. catastale,A532
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 676 GG[4]"
Nome abitanti,azziesi
Patrono,Maria SS. Annunziata
Giorno festivo,25 marzo
Cartografia,Cartografia
Azzio,Azzio
Azzio – MappaPosizione del comune di Azzio nella provincia di Varese,Azzio – MappaPosizione del comune di Azzio nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
